Name,URL,Language,Resource Type,Tags,State,Note 2 ,Year,Note,Organisation
Paddy Value Chain Opportunities for Balaghat,https://drive.google.com/file/d/0ByE9Mc41r3OrRWpJYUpYS1JJM1E/view?usp=sharing,English,Study/Report ,,Odisha,,2009,Regenerative Agriculture,PRADAN
Paddy Value Chain Opportunities for Balaghat,https://drive.google.com/file/d/0ByE9Mc41r3OrRWpJYUpYS1JJM1E/view?usp=sharing,English,,,,Discussion document on the paddy value chain opportunities in Balaghat (Madhya Pradesh),,,Pradan
Paddy Value Chain Opportunities for Smallholders in India ,https://drive.google.com/file/d/0ByE9Mc41r3OrMml0clVlRnI3dGs/view?usp=sharing,English,Study/Report ,,,,2009,Regenerative Agriculture,PRADAN
Paddy Value Chain Opportunities for Smallholders in India ,https://drive.google.com/file/d/0ByE9Mc41r3OrMml0clVlRnI3dGs/view?usp=sharing,English,,,,Report on Paddy Value chain opportunities for small holders in India,,,Pradan
Perspective and Practices for Livelihood Promotion,https://drive.google.com/file/d/0ByE9Mc41r3OrdW1MbmV2WllqRXM/view?usp=sharing,English,,,,A handbook for  Development practioners on Perspective and practices in livelihood promotion,,,PRADAN
PERSPECTIVE BUILDING EXERCISE FOR COMMUNITY LEADERS - PHASE II,https://drive.google.com/file/d/0ByE9Mc41r3OrTGU1emp0ZTh5eW8/view?usp=sharing,English,,,,"A facilitator's guide for perspective building of Community Leaders on
Aspects of Malnutrition and Social Determinants;  Infant and Young Child Feeding (IYCF) practices; and Food Diversity",,,PRADAN and PHRN
PERSPECTIVE BUILDING EXERCISE FOR COMMUNITY LEADERS - PHASE III,https://drive.google.com/file/d/0ByE9Mc41r3OrYlRVNjd1TkF6Q2c/view?usp=sharing,English,,,,"A facilitator's guide for Perspective Building of Community Leaders on Concept and meaning of entitlements specifically dealing with provisions for women under food security, work and wages, and health entitlements.",,,PRADAN and PHRN
POSHAN - Improving Nutrition in Chhattisgarh,https://drive.google.com/file/d/1emDJcpSCuI7IhTwFAUmoNdfNPdo41d0L/view?usp=sharing,English,,,,"Policy note - Insights from Examining Trends in Outcomes, Determinants and Interventions between 2006 and 2016 in Chhatisgarh",,,IFPRI
Posibilities of Tasar Pre-cocoon Expansion Through Financial Linkage,https://drive.google.com/file/d/0ByE9Mc41r3OrZTNiU21XaV9NWFk/view?usp=sharing,English,,,,Study report on possibilities of tasar pre cocoon expansion through more infusion of bank finances,,,Pradan
Protecting Maternal Diets and Nutrition Services and Practices in the context of COVID 19,https://drive.google.com/file/d/1lvnM9Sy8w4gjQOI3SZQJ1oe-KEZM4QdP/view?usp=sharing,English,,,,"The report brief provides a programmatic guidance on actions on protecting maternal diets, services and practices in context of COVID19",,,"WFP, UNICEF, Global Nutrition Cluster, GTAM"
Ragi Value Chain & Sub-sector Analysis Report,https://drive.google.com/file/d/0ByE9Mc41r3OrN29QUGtaaDV5MUE/view?usp=sharing,English,,,,Report of the Study on Ragi Value chain and sub-sector analysis ,,,Pradan
Ragi Value Chain & Sub-sector Analysis Report,https://drive.google.com/file/d/0ByE9Mc41r3OrN29QUGtaaDV5MUE/view?usp=sharing,English,Study/Report ,,"Odisha, Andhra Pradesh, Karnataka and other parts of India",,,Regenerative Agriculture,PRADAN
RO Water ,https://drive.google.com/file/d/16akvWtkJXejq5k0K6-lAScYnfWTE0-iE/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
Seed production experiences from the field ,https://drive.google.com/file/d/1ae1CGN8R5MU8BFQhapH27ayp83JbSsu7/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Seed production techniques for cereals and millets ,https://drive.google.com/file/d/1jGZx64a-Rzwvpw2W2Gt5CCJyLJSuv2a7/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Seed production techniques for oil seeds and pulses ,https://drive.google.com/file/d/1h2adwLELpgsQJUWEK-BXEyRn2KV1mNSv/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Seed production techniques for vegetables ,https://drive.google.com/file/d/1R3mSWXfRP6cI5LIVkeQ8AkVjI7_wqqSD/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Seed Savers Directory,https://drive.google.com/file/d/1lr2-3MkoPWrLD9eFyJDYn6e_DCen_f1N/view?usp=drivesdk,English,Document,,,,,Yes,Asha Network
Seed Situation Analysis ,https://drive.google.com/file/d/1he5nDp58nPRrJTqbWNxcAIlKdfrr5Wye/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Seed Storage Techniques - A Primer ,https://drive.google.com/file/d/1jJtoomM2j5AtTLSzMPgWw9h_m_OtSNMD/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Seed Treatment Techniques ,https://drive.google.com/file/d/1xaU31KBkESjeKA1uwv3VbyIGe9n65N-Y/view?usp=sharing,English,Booklet ,,,,,Yes,CIKS
Segregation by Design ,https://drive.google.com/file/d/1ijPTX841h4HBZxAoJ27Zw6XninFy8Aof/view?usp=drive_link,English,,,,Urban,,,Reap Benefit
SGSY Special Projects for Tasar Development In Bihar and Jharkhand: Initiatives and Impact ,https://drive.google.com/file/d/0ByE9Mc41r3OrNmRTSDdwbTUzN3c/view?usp=sharing,English,,,,Paper on Tasar development promotion in Bihar and Jharkhand - initiatives and impact through Special SGSY project,,,Pradan
